word,star_1,star_2,star_3,star_4,star_5
k,150.0,163.0,334.0,1085.0,28216.0
w,192.0,189.0,427.0,1461.0,31903.0
china,1.0,0.0,0.0,0.0,7.0
item,0.0,0.0,0.0,0.0,31.0
smarter,0.0,0.0,0.0,0.0,27.0
percept,0.0,0.0,0.0,3.0,22.0
handl,0.0,0.0,3.0,3.0,151.0
john,0.0,0.0,1.0,1.0,5.0
evid,2.0,0.0,0.0,0.0,37.0
exam,19.0,21.0,38.0,110.0,1374.0
courseit,0.0,0.0,0.0,3.0,38.0
acquaint,0.0,0.0,1.0,0.0,21.0
pedagog,1.0,1.0,0.0,0.0,56.0
lose,2.0,7.0,6.0,5.0,105.0
mug,0.0,0.0,1.0,0.0,5.0
young,0.0,0.0,1.0,3.0,119.0
admir,0.0,0.0,0.0,0.0,27.0
win,3.0,1.0,4.0,0.0,68.0
profesion,0.0,0.0,0.0,1.0,47.0
clearer,0.0,1.0,2.0,1.0,25.0
net,4.0,6.0,12.0,48.0,326.0
previous,0.0,1.0,2.0,0.0,79.0
indic,1.0,0.0,0.0,0.0,13.0
revisit,1.0,0.0,1.0,0.0,43.0
rare,1.0,1.0,1.0,0.0,30.0
caus,27.0,16.0,44.0,73.0,1146.0
reflect,0.0,0.0,2.0,5.0,100.0
lifethank,0.0,0.0,0.0,0.0,7.0
beaucoup,0.0,0.0,0.0,1.0,17.0
appri,0.0,0.0,0.0,1.0,16.0
une,3.0,1.0,1.0,3.0,43.0
qui,30.0,31.0,78.0,142.0,2762.0
jai,0.0,0.0,0.0,1.0,16.0
ps,1.0,1.0,1.0,4.0,142.0
je,10.0,11.0,18.0,70.0,1531.0
wet,0.0,0.0,0.0,2.0,29.0
difficulti,4.0,2.0,7.0,23.0,181.0
thoughtprovok,0.0,0.0,0.0,0.0,14.0
crucial,2.0,1.0,1.0,0.0,49.0
opposit,0.0,0.0,0.0,0.0,12.0
boredom,0.0,0.0,1.0,1.0,8.0
impli,6.0,7.0,10.0,16.0,630.0
distanc,0.0,1.0,0.0,0.0,9.0
travel,1.0,0.0,0.0,0.0,10.0
congrat,0.0,1.0,1.0,0.0,119.0
park,1.0,0.0,0.0,0.0,19.0
cowork,0.0,0.0,0.0,0.0,14.0
dost,0.0,0.0,0.0,0.0,8.0
caraga,0.0,0.0,0.0,0.0,6.0
courseth,0.0,0.0,0.0,8.0,89.0
fluid,0.0,0.0,0.0,0.0,10.0
0,14.0,7.0,13.0,24.0,604.0
hero,0.0,0.0,0.0,0.0,18.0
flawless,0.0,0.0,0.0,0.0,11.0
succinctli,0.0,0.0,0.0,0.0,8.0
condescend,2.0,0.0,2.0,0.0,3.0
door,2.0,1.0,2.0,0.0,35.0
execel,0.0,0.0,0.0,0.0,8.0
understad,0.0,0.0,0.0,0.0,7.0
humil,0.0,0.0,0.0,0.0,6.0
specialist,0.0,0.0,0.0,4.0,19.0
highest,0.0,1.0,0.0,0.0,17.0
clever,2.0,0.0,0.0,0.0,23.0
muito,0.0,0.0,0.0,0.0,121.0
bom,0.0,0.0,0.0,1.0,48.0
interessant,0.0,0.0,1.0,0.0,17.0
extremament,0.0,0.0,0.0,1.0,9.0
relevant,0.0,0.0,0.0,0.0,10.0
salut,0.0,0.0,0.0,0.0,8.0
fire,0.0,0.0,1.0,4.0,16.0
geek,0.0,0.0,0.0,0.0,6.0
hit,3.0,1.0,5.0,3.0,51.0
fulfil,0.0,1.0,0.0,0.0,46.0
12,1.0,1.0,5.0,3.0,33.0
mid,1.0,0.0,0.0,3.0,121.0
stun,0.0,0.0,0.0,0.0,9.0
box,1.0,0.0,1.0,1.0,42.0
healthi,0.0,0.0,0.0,0.0,28.0
depart,0.0,2.0,1.0,0.0,10.0
exquisit,0.0,0.0,0.0,1.0,5.0
version,1.0,2.0,4.0,8.0,84.0
superior,0.0,0.0,1.0,0.0,8.0
tend,4.0,2.0,6.0,16.0,510.0
musttak,0.0,0.0,0.0,0.0,14.0
coz,0.0,0.0,0.0,0.0,7.0
patient,1.0,0.0,0.0,1.0,68.0
hello,0.0,0.0,0.0,3.0,64.0
slowli,0.0,0.0,1.0,3.0,67.0
welltaught,0.0,0.0,0.0,0.0,9.0
explicit,0.0,1.0,1.0,1.0,38.0
undestand,0.0,0.0,0.0,0.0,15.0
realizar,0.0,0.0,0.0,0.0,25.0
manera,0.0,0.0,0.0,1.0,100.0
compact,0.0,0.0,0.0,3.0,25.0
began,0.0,1.0,1.0,1.0,36.0
doctor,0.0,0.0,0.0,0.0,66.0
match,1.0,3.0,4.0,5.0,31.0
sui,0.0,2.0,2.0,9.0,239.0
nou,9.0,16.0,26.0,38.0,555.0
donn,0.0,0.0,0.0,0.0,7.0
sur,13.0,13.0,17.0,50.0,1244.0
explic,0.0,2.0,3.0,5.0,249.0
clair,0.0,0.0,0.0,0.0,9.0
entri,0.0,0.0,2.0,3.0,72.0
pertin,0.0,0.0,0.0,0.0,17.0
tast,0.0,0.0,1.0,16.0,861.0
summari,2.0,0.0,1.0,2.0,28.0
